query_text,program_text
demonstrate content of this subtask,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr content prev <nxt> ShowInfo prev
show the content of this instruction,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> Unique prev <nxt> QueryAttr content prev <nxt> ShowInfo prev
display the content of this instruction,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> Unique prev <nxt> QueryAttr content prev <nxt> ShowInfo prev
demonstrate content of this instruction,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> Unique prev <nxt> QueryAttr content prev <nxt> ShowInfo prev
show the order of this instruction,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> Unique prev <nxt> QueryAttr order prev <nxt> ShowInfo prev
display the order of this instruction,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> Unique prev <nxt> QueryAttr order prev <nxt> ShowInfo prev
demonstrate order of this instruction,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> Unique prev <nxt> QueryAttr order prev <nxt> ShowInfo prev
show the summary for this task,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> ShowInfo prev
display the summary for this task,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> ShowInfo prev
demonstrate summary for this task,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> ShowInfo prev
show the summary for this subtask,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> ShowInfo prev
display the summary for this subtask,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> ShowInfo prev
demonstrate summary for this subtask,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> ShowInfo prev
show the summary for this instruction,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> ShowInfo prev
display the summary for this instruction,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> ShowInfo prev
demonstrate summary for this instruction,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> ShowInfo prev
execute this subtask,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterType actions prev <nxt> ExecuteType subtasks prev
show execution of this subtask,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterType actions prev <nxt> ExecuteType subtasks prev
run this subtask,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterType actions prev <nxt> ExecuteType subtasks prev
execute this instruction,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> FilterType actions prev <nxt> ExecuteType instructions prev
show execution of this instruction,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> FilterType actions prev <nxt> ExecuteType instructions prev
run this instruction,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> FilterType actions prev <nxt> ExecuteType instructions prev
remove <NUMBER> from <NUMBER>,ExtractNumbers Query <nxt> CreateActions detach Yes prev <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> FilterType actions prev <nxt> CheckActionsValidity val_1 prev <nxt> Detach prev val_1
remove <NUMBER> <NUMBER> from <NUMBER>,ExtractNumbers Query <nxt> CreateActions detach Yes prev <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> FilterType actions prev <nxt> CheckActionsValidity val_1 prev <nxt> Detach prev val_1
remove <NUMBER> <NUMBER> <NUMBER> from <NUMBER>,ExtractNumbers Query <nxt> CreateActions detach Yes prev <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> FilterType actions prev <nxt> CheckActionsValidity val_1 prev <nxt> Detach prev val_1
disconnect <NUMBER> from <NUMBER>,ExtractNumbers Query <nxt> CreateActions detach Yes prev <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> FilterType actions prev <nxt> CheckActionsValidity val_1 prev <nxt> Detach prev val_1
disconnect <NUMBER> <NUMBER> from <NUMBER>,ExtractNumbers Query <nxt> CreateActions detach Yes prev <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> FilterType actions prev <nxt> CheckActionsValidity val_1 prev <nxt> Detach prev val_1
disconnect <NUMBER> <NUMBER> <NUMBER> from <NUMBER>,ExtractNumbers Query <nxt> CreateActions detach Yes prev <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> FilterType actions prev <nxt> CheckActionsValidity val_1 prev <nxt> Detach prev val_1
uninstall <NUMBER> from <NUMBER>,ExtractNumbers Query <nxt> CreateActions detach Yes prev <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> FilterType actions prev <nxt> CheckActionsValidity val_1 prev <nxt> Detach prev val_1
uninstall <NUMBER> <NUMBER> from <NUMBER>,ExtractNumbers Query <nxt> CreateActions detach Yes prev <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> FilterType actions prev <nxt> CheckActionsValidity val_1 prev <nxt> Detach prev val_1
uninstall <NUMBER> <NUMBER> <NUMBER> from <NUMBER>,ExtractNumbers Query <nxt> CreateActions detach Yes prev <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> FilterType actions prev <nxt> CheckActionsValidity val_1 prev <nxt> Detach prev val_1
install <NUMBER> to <NUMBER>,ExtractNumbers Query <nxt> CreateActions attach Yes prev <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> FilterType actions prev <nxt> CheckActionsValidity val_1 prev <nxt> Attach prev val_1
install <NUMBER> <NUMBER> to <NUMBER>,ExtractNumbers Query <nxt> CreateActions attach Yes prev <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> FilterType actions prev <nxt> CheckActionsValidity val_1 prev <nxt> Attach prev val_1
connect <NUMBER> to <NUMBER>,ExtractNumbers Query <nxt> CreateActions attach Yes prev <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> FilterType actions prev <nxt> CheckActionsValidity val_1 prev <nxt> Attach prev val_1
connect <NUMBER> <NUMBER> to <NUMBER>,ExtractNumbers Query <nxt> CreateActions attach Yes prev <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> FilterType actions prev <nxt> CheckActionsValidity val_1 prev <nxt> Attach prev val_1
put <NUMBER> to <NUMBER>,ExtractNumbers Query <nxt> CreateActions attach Yes prev <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> FilterType actions prev <nxt> CheckActionsValidity val_1 prev <nxt> Attach prev val_1
put <NUMBER> <NUMBER> to <NUMBER>,ExtractNumbers Query <nxt> CreateActions attach Yes prev <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> FilterType instructions prev <nxt> FilterAttr order current_instruction_order prev <nxt> FilterType actions prev <nxt> CheckActionsValidity val_1 prev <nxt> Attach prev val_1
show the left side of this figure,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> ShowSide left prev
show the right side of this figure,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> ShowSide right prev
show the top side of this figure,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> ShowSide top prev
show the bottom side of this figure,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> ShowSide bottom prev
show the front side of this figure,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> ShowSide front prev
show the bottom side of this figure,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> ShowSide bottom prev
display the left side of this figure,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> ShowSide left prev
display the right side of this figure,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> ShowSide right prev
display the top side of this figure,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> ShowSide top prev
display the bottom side of this figure,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> ShowSide bottom prev
display the front side of this figure,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> ShowSide front prev
display the bottom side of this figure,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> ShowSide bottom prev
demonstrate left side of this figure,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> ShowSide left prev
demonstrate right side of this figure,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> ShowSide right prev
demonstrate top side of this figure,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> ShowSide top prev
demonstrate bottom side of this figure,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> ShowSide bottom prev
demonstrate front side of this figure,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> ShowSide front prev
demonstrate bottom side of this figure,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> ShowSide bottom prev
show highlight of <NUMBER>,ExtractNumbers Query <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> Filter3DAttr items val_1 prev <nxt> Highlight on prev
show highlight of <NUMBER> <NUMBER>,ExtractNumbers Query <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> Filter3DAttr items val_1 prev <nxt> Highlight on prev
show highlight of <NUMBER> <NUMBER> <NUMBER>,ExtractNumbers Query <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> Filter3DAttr items val_1 prev <nxt> Highlight on prev
highlight <NUMBER>,ExtractNumbers Query <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> Filter3DAttr items val_1 prev <nxt> Highlight on prev
highlight <NUMBER> <NUMBER>,ExtractNumbers Query <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> Filter3DAttr items val_1 prev <nxt> Highlight on prev
highlight <NUMBER> <NUMBER> <NUMBER>,ExtractNumbers Query <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> Filter3DAttr items val_1 prev <nxt> Highlight on prev
hide highlight from <NUMBER>,ExtractNumbers Query <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> Filter3DAttr items val_1 prev <nxt> Highlight off prev
hide highlight from <NUMBER> <NUMBER>,ExtractNumbers Query <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> Filter3DAttr items val_1 prev <nxt> Highlight off prev
hide highlight from <NUMBER> <NUMBER> <NUMBER>,ExtractNumbers Query <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> Filter3DAttr items val_1 prev <nxt> Highlight off prev
reset highlight of <NUMBER>,ExtractNumbers Query <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> Filter3DAttr items val_1 prev <nxt> Highlight off prev
reset highlight of <NUMBER> <NUMBER>,ExtractNumbers Query <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> Filter3DAttr items val_1 prev <nxt> Highlight off prev
reset highlight of <NUMBER> <NUMBER> <NUMBER>,ExtractNumbers Query <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> Filter3DAttr items val_1 prev <nxt> Highlight off prev
show close look of <NUMBER>,ExtractNumbers Query <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> Filter3DAttr items val_1 prev <nxt> CloseLook prev
show close look of <NUMBER> <NUMBER>,ExtractNumbers Query <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> Filter3DAttr items val_1 prev <nxt> CloseLook prev
show close look of <NUMBER> <NUMBER> <NUMBER>,ExtractNumbers Query <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> Filter3DAttr items val_1 prev <nxt> CloseLook prev
show closer <NUMBER>,ExtractNumbers Query <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> Filter3DAttr items val_1 prev <nxt> CloseLook prev
show closer <NUMBER> <NUMBER>,ExtractNumbers Query <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> Filter3DAttr items val_1 prev <nxt> CloseLook prev
show closer <NUMBER> <NUMBER> <NUMBER>,ExtractNumbers Query <nxt> SaveVal2Var prev var_1 <nxt> FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> Filter3DAttr name prev root3D <nxt> Unique prev <nxt> Filter3DAttr items val_1 prev <nxt> CloseLook prev
